14-22-09-4823	300005	2023-11-16 08:49:33	Open	\N	
14-22-04-0600	350014	2022-04-22 09:03:13	Closed	\N	\N
14-22-08-9227	350021	2024-01-22 11:41:44	Open	\N	
11-23-05-5305	200004	2023-06-05 08:40:49	Closed	\N	\N
14-21-04-0903	350030	2024-03-28 13:35:15	Open	\N	
14-20-12-2581	350025	2024-02-19 14:46:20	Open	\N	
14-20-08-3007	350031	2024-03-28 13:38:43	Open	\N	
14-20-12-4053	350031	2024-02-29 12:18:01	Open	\N	
11-19-08-8746	200014	2024-02-29 12:21:27	Open	\N	
14-20-10-6921	350031	2024-03-28 13:45:50	Open	\N	
14-22-01-4526	350031	2024-03-28 13:37:34	Open	\N	
14-20-12-6095	350025	2024-03-06 08:38:07	Open	\N	
14-23-01-2587	350031	2024-03-28 13:36:14	Open	\N	
14-20-08-8409	350031	2024-03-28 13:40:40	Open	\N	
14-21-12-7103	350031	2024-03-28 13:42:03	Open	\N	
14-22-07-3445	350031	2024-03-29 10:21:23	Open	\N	
14-20-08-2265	350031	2024-03-28 13:39:35	Open	\N	
14-22-04-1163	350025	2024-03-28 14:41:46	Open	\N	
14-20-08-1035	350030	2024-03-28 13:34:32	Open	\N	
14-22-08-1397	350021	2024-03-28 14:43:38	Open	\N	
14-20-08-6681	350025	2024-03-28 14:39:41	Open	\N	
11-23-05-9824	200008	2023-06-05 08:40:07	Closed	\N	\N
13-22-09-6267	300005	2023-08-09 10:39:01	Closed	\N	
13-20-05-9453	300005	2023-08-09 10:37:49	Closed	\N	
14-22-04-5964	350020	2023-07-21 10:25:16	Closed	\N	
14-22-01-3217	350022	2023-05-23 10:06:00	Closed	\N	
14-21-07-6778	350025	2023-06-20 12:27:09	Closed	\N	
14-22-03-1439	350025	2023-07-21 10:21:16	Closed	\N	
14-22-09-3063	350025	2023-07-21 09:54:54	Closed	\N	
14-22-07-2827	350027	2023-07-21 10:22:32	Closed	\N	
14-22-10-8599	350028	2023-07-21 10:17:13	Closed	\N	
14-20-06-9295	350020	2024-06-12 10:45:26	Open	\N	\N
11-22-04-8353	200018	2024-04-16 08:50:06	Open	\N	
14-21-06-3669	350014	2021-09-03 09:27:37	Closed	\N	\N
14-21-11-1231	350015	2022-04-22 09:07:20	Closed	\N	\N
14-23-07-6706	350028	2023-07-25 11:36:46	Open	\N	
12-23-07-6049	250003	2023-07-25 12:10:54	Open	\N	
12-23-07-3519	250003	2023-07-25 12:11:49	Open	\N	
12-23-07-6529	250003	2023-07-25 12:12:35	Open	\N	
12-23-07-9305	250003	2023-07-25 12:15:22	Open	\N	
12-23-07-4543	250003	2023-07-25 12:16:33	Open	\N	
12-23-07-1659	250003	2023-07-25 12:17:01	Open	\N	
12-23-07-8573	250003	2023-07-25 12:17:18	Open	\N	
11-23-06-9026	200013	2023-08-09 09:18:40	Open	\N	
11-23-05-5744	200014	2023-08-23 09:58:22	Open	\N	
11-23-09-4520	200014	2023-10-02 08:53:45	Open	\N	
11-23-09-3299	200014	2023-10-02 08:54:07	Open	\N	
14-23-10-4087	350031	2023-10-27 11:46:54	Open	\N	
14-23-02-8047	350028	2023-10-27 11:47:06	Open	\N	
14-23-11-7532	350025	2023-11-16 14:27:16	Open	\N	
14-23-11-8162	350028	2023-11-29 10:49:04	Open	\N	
11-23-12-9214	300005	2024-01-10 09:06:19	Open	\N	
14-20-08-3623	350028	2024-03-28 13:46:48	Open	\N	
14-23-01-4589	350028	2024-03-28 13:47:30	Open	\N	
14-20-08-7529	350028	2024-01-22 11:43:03	Open	\N	
13-23-12-3265	300005	2024-01-22 12:46:16	Open	\N	
14-24-03-0179	350025	2024-03-28 14:38:24	Open	\N	
16-24-01-4871	450002	2024-01-26 11:36:38	Open	\N	
16-23-10-6161	450002	2024-01-26 11:37:01	Open	\N	
13-23-12-4410	300005	2024-01-29 08:39:46	Open	\N	
13-23-12-9214	300005	2024-01-29 10:04:45	Open	\N	\N
14-24-03-5397	350025	2024-03-28 14:40:33	Open	\N	
14-21-01-8345	350025	2024-03-28 14:41:20	Open	\N	
11-22-12-2062	200004	2023-07-07 12:27:40	Closed	\N	\N
11-23-06-9067	200013	2023-08-09 10:40:34	Closed	\N	
11-23-07-8094	200014	2023-08-09 10:41:07	Closed	\N	
12-23-07-1111	250003	2023-07-25 12:14:14	Closed	\N	
14-21-09-9933	350027	2023-07-21 10:28:16	Closed	\N	
14-23-07-7278	350028	2023-07-25 11:36:05	Closed	\N	
14-23-07-9947	350028	2023-07-25 11:37:23	Closed	\N	
14-23-09-6202	350031	2023-10-02 08:52:15	Closed	\N	
14-20-08-6977	350030	2024-02-29 11:15:57	Open	\N	
14-23-10-8457	350031	2023-10-27 11:46:29	Closed	\N	
14-20-11-8023	350031	2023-09-27 12:38:14	Closed	\N	
14-24-04-2337	350025	2024-04-18 09:52:25	Open	\N	
11-24-04-9106	200013	2024-05-24 08:32:20	Open	\N	\N
14-23-10-4401	350025	2024-03-06 08:38:35	Open	\N	
14-22-09-4105	350025	2024-03-06 08:40:11	Open	\N	
14-23-02-1055	350025	2024-03-06 08:40:33	Open	\N	
14-23-10-9271	350025	2024-03-06 08:41:19	Open	\N	
14-22-09-6559	350025	2024-03-06 08:41:46	Open	\N	
13-20-08-3103	300005	2024-05-24 08:32:56	Open	\N	\N
14-24-02-9289	350029	2024-03-27 08:39:16	Open	\N	
19-23-11-8727	350014	2024-03-27 09:05:28	Open	\N	CHRF
17-22-07-7289	350014	2024-03-27 09:11:06	Open	\N	CHRF
21-20-02-4593	350014	2024-03-27 10:32:06	Open	\N	CHRF
18-21-08-5273	350002	2024-06-05 10:34:32	Open	\N	CHRF
14-23-08-1287	350030	2024-03-28 13:34:07	Open	\N	
14-21-11-6746	350031	2024-03-28 13:43:01	Open	\N	
14-23-11-7005	350031	2024-03-28 13:43:36	Open	\N	
14-24-01-9796	350031	2024-03-28 13:44:42	Open	\N	
14-23-09-4373	350031	2024-03-28 13:45:24	Open	\N	
14-24-05-9341	350032	2024-06-12 11:00:18	Open	\N	\N
11-24-04-8763	\N	2024-06-14 09:10:11	Open	\N	\N
13-25-12-9879	\N	\N	Open	\N	\N
\.


