prj	200001	Project Proposal	\N	157
prj	200001	PPF	\N	1
prj	200001	Project Approval	\N	2
prj	200001	Work Order	\N	3
prj	200002	PPF	\N	4
prj	200002	Project Proposal	\N	5
prj	200002	Project Approval	\N	6
prj	200002	Work Order	\N	7
prj	200003	PPF	\N	8
prj	200003	Project Proposal	\N	9
prj	200003	Project Approval	\N	10
prj	200003	Work Order	\N	11
prj	200004	PPF	\N	12
prj	200004	Project Proposal	\N	13
prj	200004	Project Approval	\N	14
prj	200005	PPF	\N	16
prj	200005	Project Proposal	\N	17
prj	200005	Project Approval	\N	18
prj	200005	Work Order	\N	19
prj	200007	Project Approval	\N	26
prj	200008	Project Approval	\N	30
prj	200010	PPF	\N	32
prj	200010	Project Proposal	\N	33
prj	200010	Project Approval	\N	34
prj	200010	Work Order	\N	35
prj	250001	PPF	\N	36
prj	250001	Project Proposal	\N	37
prj	250001	Project Approval	\N	38
prj	250001	Work Order	\N	39
prj	250002	PPF	\N	40
prj	250002	Project Approval	\N	42
prj	250002	Work Order	\N	43
prj	250003	PPF	\N	44
prj	250003	Project Approval	\N	46
prj	250004	PPF	\N	48
prj	250004	Project Proposal	\N	49
prj	250004	Project Approval	\N	50
prj	250004	Work Order	\N	51
prj	250005	PPF	\N	52
prj	250005	Project Proposal	\N	53
prj	250005	Project Approval	\N	54
prj	250005	Work Order	\N	55
prj	250006	PPF	\N	56
prj	250006	Project Proposal	\N	57
prj	250006	Project Approval	\N	58
prj	250006	Work Order	\N	59
prj	300001	PPF	\N	60
prj	300001	Project Proposal	\N	61
prj	300001	Project Approval	\N	62
prj	300001	Work Order	\N	63
prj	300002	PPF	\N	64
prj	300002	Project Proposal	\N	65
prj	300002	Project Approval	\N	66
prj	300002	Work Order	\N	67
prj	300004	Project Approval	\N	70
prj	300004	Work Order	\N	71
prj	300005	PPF	\N	72
prj	300005	Project Proposal	\N	73
prj	300005	Project Approval	\N	74
prj	300005	Work Order	\N	75
prj	350002	PPF	\N	76
