54	63	fin_commitments	1743	cmt_amount_x2	3310000	3315000	numeric	3	n	cmt_id	\N
55	63	fin_commitments	1741	cmt_amount_x1	12260000	12265000	numeric	3	\N	cmt_id	\N
58	65	fin_commitments	1743	cmt_amount_x2	3310000	3315300	numeric	3	n	cmt_id	\N
59	65	fin_commitments	1741	cmt_amount_x1	12260000	12265300	numeric	3	\N	cmt_id	\N
38	58	fin_sharesalloc	23	sha_c2	1720715	1720724	numeric	1	\N	sha_id	\N
42	59	fin_sharesalloc	4	sha_c1	5000000	4997009	numeric	1	\N	sha_id	\N
32	57	(none)	83	rdw_share	1696979	1878979	numeric	1	\N		\N
37	58	(none)	23	rdw_share	1720715	1720724	numeric	1	\N		\N
41	59	(none)	4	rdw_share	7300000	7297009	numeric	1	\N		\N
45	60	(none)	11	rdw_share	11680000	11675214	numeric	1	\N		\N
49	61	(none)	5	rdw_share	7500000	7515919	numeric	1	\N		\N
61	66	(none)	2	rdw_share	1764720	1764705	numeric	1	\N		\N
64	67	(none)	4	rdw_share	3529440	3529412	numeric	1	\N		\N
67	68	(none)	6	rdw_share	4411800	4411765	numeric	1	\N		\N
72	74	pur_purcases	693	pcs_remarks	50% advanced payment and 50% payment on deliver	100% payment on delivery	text	1	\N	pcs_id	\N
89	81	pur_purcases	333	pcs_midtax	185000	185300	numeric	1	\N	pcs_id	\N
90	81	pur_purcases	333	pcs_price	1275300	1275600	numeric	1	\N	pcs_id	\N
91	82	pur_purcases	428	pcs_midtax	341504	321891	numeric	1	\N	pcs_id	\N
92	82	pur_purcases	428	pcs_price	2350356	2330743	numeric	1	\N	pcs_id	\N
93	83	pur_purcases	465	pcs_midtax	918420	175988.93	numeric	1	\N	pcs_id	\N
94	83	pur_purcases	465	pcs_price	116809	-625622.07	numeric	1	\N	pcs_id	\N
95	84	pur_purcases	458	pcs_midtax	220337	200337	numeric	1	\N	pcs_id	\N
96	84	pur_purcases	458	pcs_price	1378787	1358787	numeric	1	\N	pcs_id	\N
46	60	fin_sharesalloc	11	sha_c1	8000000	7995214	numeric	1	\N	sha_id	\N
50	61	fin_sharesalloc	5	sha_c1	6500000	6515919	numeric	1	\N	sha_id	\N
33	57	fin_sharesinstall	83	shi_c1	1459402	1615922	numeric	1	\N	shi_id	\N
34	57	fin_sharesinstall	83	shi_c3	237577	263057	numeric	1	\N	shi_id	\N
31	57	fin_transactions	2788	trn_amount1_x2	878021	696021	numeric	1	n	trn_id	\N
35	57	fin_transactions	2788	trn_amount2_x2	878021	696021	numeric	3	n	trn_id	\N
60	66	fin_transactions	1	trn_amount1_x2	441180	441195	numeric	1	n	trn_id	\N
62	66	fin_transactions	1	trn_amount2_x2	441180	441195	numeric	3	n	trn_id	\N
63	67	fin_transactions	7	trn_amount1_x2	882360	882388	numeric	1	n	trn_id	\N
65	67	fin_transactions	7	trn_amount2_x2	882360	882388	numeric	3	n	trn_id	\N
66	68	fin_transactions	12	trn_amount1_x2	1102950	1102985	numeric	1	n	trn_id	\N
68	68	fin_transactions	12	trn_amount2_x2	1102950	1102985	int4	3	n	trn_id	\N
36	58	fin_transfers	3	trf_amount_x2	637408	637399	int4	1	\N	trf_id	\N
40	59	fin_transfers	54	trf_amount_x2	2700000	2702991	int4	1	\N	trf_id	\N
44	60	fin_transfers	50	trf_amount_x2	4320000	4324786	int4	1	\N	trf_id	\N
48	61	fin_transfers	52	trf_amount_x2	2800000	2784081	int4	1	\N	trf_id	\N
52	63	fin_transfers	47	trf_amount_x1	12260000	12265000	int4	1	\N	trf_id	\N
53	63	fin_transfers	48	trf_amount_x2	3310000	3315000	int4	1	\N	trf_id	\N
56	65	fin_transfers	47	trf_amount_x1	12260000	12265300	int4	1	\N	trf_id	\N
57	65	fin_transfers	48	trf_amount_x2	3310000	3315300	int4	1	\N	trf_id	\N
2	11	hr_contracts	194	ctr_enddt	31 Mar 22	18 May 22	date	1	\N	ctr_id	\N
10	15	hr_contracts	285	ctr_enddt	31 Mar 22	07 Nov 22	date	1	\N	ctr_id	\N
4	12	hr_contracts	210	ctr_enddt	31 Mar 22	30 May 22	date	1	\N	ctr_id	\N
8	14	hr_contracts	259	ctr_enddt	04 Feb 22	31 Jul 22	date	1	\N	ctr_id	\N
5	12	hr_contracts	210	ctr_termindt		31 Mar 22	date	1	\N	ctr_id	\N
9	14	hr_contracts	259	ctr_termindt		04 Feb 22	date	1	\N	ctr_id	\N
3	11	hr_contracts	194	ctr_termindt		31 Mar 22	date	1	\N	ctr_id	\N
11	15	hr_contracts	285	ctr_termindt		31 Mar 22	date	1	\N	ctr_id	\N
1	10	hr_contracts	205	ctr_termindt		30 Apr 22	date	1	\N	ctr_id	\N
13	16	hr_contracts	364	ctr_termindt		30 Apr 22	date	1	\N	ctr_id	\N
7	13	hr_contracts	227	ctr_termindt		31 Mar 22	date	1	\N	ctr_id	\N
6	13	hr_contracts	227	ctr_enddt	31 Mar 22	11 Aug 22	date	1	\N	ctr_id	\N
14	17	hr_contracts	374	ctr_startdt	01 Jul 22	01 May 22	date	1	\N	ctr_id	\N
12	16	hr_contracts	364	ctr_startdt	01 May 22	01 July 21	date	1	\N	ctr_id	\N
15	32	hr_contracts	259	ctr_enddt	04-Feb-2022	31-Jul-2022	date	1	\N	ctr_id	\N
16	32	hr_contracts	259	ctr_termindt	\N	04-Feb-2022	date	1	\N	ctr_id	\N
17	34	hr_contracts	364	ctr_startdt	01-May-2022	01-Jul-2022	date	1	\N	ctr_id	\N
18	34	hr_contracts	364	ctr_enddt	30-Jun-2022	30-Jun-2023	date	1	\N	ctr_id	\N
19	34	hr_contracts	364	ctr_date	01-May-2022	01-Jul-2022	date	1	\N	ctr_id	\N
20	34	hr_contracts	364	ctr_salary	50000	65000	numeric	1	\N	ctr_id	\N
21	35	hr_contracts	221	ctr_termindt	30-Apr-2022	\N	date	1	\N	ctr_id	\N
22	36	hr_contracts	194	ctr_enddt	31-Mar-2022	18-May-2022	date	1	\N	ctr_id	\N
23	36	hr_contracts	194	ctr_termindt	\N	31-Mar-2022	date	1	\N	ctr_id	\N
24	37	hr_contracts	210	ctr_enddt	31-Mar-2022	30-May-2022	date	1	\N	ctr_id	\N
25	37	hr_contracts	210	ctr_termindt	\N	31-Mar-2022	date	1	\N	ctr_id	\N
26	38	hr_contracts	227	ctr_enddt	31-Mar-2022	11-Aug-2022	date	1	\N	ctr_id	\N
27	38	hr_contracts	227	ctr_termindt	\N	31-Mar-2022	date	1	\N	ctr_id	\N
28	39	hr_contracts	285	ctr_enddt	31-Mar-2022	07-Nov-2022	date	1	\N	ctr_id	\N
29	39	hr_contracts	285	ctr_termindt	\N	31-Mar-2022	date	1	\N	ctr_id	\N
30	47	hr_contracts	241	ctr_termindt	24-Jun-2022	07-Jul-2022	date	1	\N	ctr_id	\N
69	71	hr_contracts	407	ctr_hed_id	350018	350015	int4	1	\N	ctr_id	\N
70	71	hr_emps	14-22-08-9227	emp_hed_id	350018	350015	int4	3	\N	emp_id	\N
73	72	pur_purcases	742	pcs_midtax	152015	158431.5	numeric	1	\N	pcs_id	\N
74	72	pur_purcases	742	pcs_price	1083965	1090381.5	numeric	1	\N	pcs_id	\N
97	85	pur_purcases	464	pcs_midtax	17040	282948	numeric	1	\N	pcs_id	\N
98	85	pur_purcases	464	pcs_price	1647430	1913338	numeric	1	\N	pcs_id	\N
99	86	pur_purcases	745	pcs_midtax	778778	731168.3	numeric	1	\N	pcs_id	\N
100	86	pur_purcases	745	pcs_price	5555868	5508258.3	numeric	1	\N	pcs_id	\N
101	87	hr_contracts	428	ctr_startdt	27-Sep-2022	01-Sep-2022	date	1	\N	ctr_id	\N
102	87	hr_contracts	428	ctr_enddt	26-Sep-2023	31-Aug-2023	date	1	\N	ctr_id	\N
103	87	hr_contracts	428	ctr_date	27-Sep-2022	01-Sep-2022	date	1	\N	ctr_id	\N
104	88	hr_contracts	429	ctr_startdt	27-Sep-2022	01-Sep-2022	date	1	\N	ctr_id	\N
105	88	hr_contracts	429	ctr_enddt	26-Sep-2023	31-Aug-2023	date	1	\N	ctr_id	\N
106	88	hr_contracts	429	ctr_date	27-Sep-2022	01-Sep-2022	date	1	\N	ctr_id	\N
107	89	hr_contracts	429	ctr_startdt	27-Sep-22	01-Sep-22	date	1	\N	ctr_id	\N
108	89	hr_contracts	429	ctr_enddt	26-Sep-23	31-Aug-23	date	1	\N	ctr_id	\N
109	89	hr_contracts	429	ctr_date	27-Sep-22	01-Sep-22	date	1	\N	ctr_id	\N
110	90	hr_emps	14-22-09-6968	emp_joindt	27-Sep-22	01-Sep-22	date	1	\N	emp_id	\N
111	91	hr_emps	14-22-09-4823	emp_joindt	27-Sep-22	01-Sep-22	date	1	\N	emp_id	\N
112	92	hr_emps	14-22-09-4823	emp_joindt	27-Sep-22	01-Sep-22	date	1	\N	emp_id	\N
113	93	hr_contracts	431	ctr_enddt	31-Aug-22	31-Mar-23	date	1	\N	ctr_id	\N
