8	8	Navy Research and Development Institute
9	9	Research and Development Wing
11	11	Communication Division
12	12	Enabling Technology Division
13	13	Naval Weapons System Division
14	14	Sensors Division
15	15	System of Systems Division
16	16	Systems Division
17	17	Finance Department
18	18	Administration Department
19	19	Human Resource Department
20	20	Information Technology Department
21	21	Information System Department
10	10	Projects Department
\.


