350021	HR	3648000
300005	Purchase	65942225
200001	HR	1686241
200001	Purchase	0
200002	HR	647059
200002	Purchase	17000000
200003	HR	7991983
200003	Purchase	9589925
200004	HR	12630000
200004	Purchase	39750000
200006	HR	3566544
200006	Purchase	7935099
200007	HR	2008513
200007	Purchase	5457406
200008	HR	1895000
200008	Purchase	5287009
200009	HR	0
200009	Purchase	9202407
200011	HR	760000
200011	Purchase	3400000
200012	HR	700000
200012	Purchase	4500000
200013	HR	950000
200013	Purchase	12322193
200014	HR	19000000
200014	Purchase	187967797
250003	HR	21223000
250003	Purchase	16508126
300001	HR	6455096
300001	Purchase	46001356
300003	HR	5336071
300003	Purchase	81064103
300005	HR	5833950
300006	HR	1000000
300006	Purchase	16751496
300007	HR	4500000
300007	Purchase	80233670
350002	HR	19529000
350002	Purchase	156144072
350003	HR	14612456
350003	Purchase	55205352
350004	HR	12383244
350004	Purchase	101276051
350005	HR	6828840
350005	Purchase	54339667
350006	HR	2731250
350006	Purchase	6611111
350009	HR	2356828
350009	Purchase	57600000
350010	HR	7775484
350010	Purchase	38415371
350011	HR	9500000
350011	Purchase	48126068
350012	HR	6840000
350012	Purchase	1750000
350013	HR	10500000
350013	Purchase	153487274
350014	HR	28453979
350014	Purchase	64501899
350015	HR	11251151
350015	Purchase	9891026
350018	HR	1900000
350018	Purchase	7466861
350019	HR	3819000
350019	Purchase	25049410
350020	HR	4465000
350020	Purchase	7000000
350021	Purchase	7000000
350022	HR	726480
350022	Purchase	2525872
350023	HR	1440020
350023	Purchase	1414760
350024	HR	480000
350024	Purchase	541510
350025	HR	15660009
350025	Purchase	14486079
350026	HR	1280003
350026	Purchase	6599101
350027	HR	3268000
350027	Purchase	1500165
350028	HR	12000001
350028	Purchase	8967149
350029	HR	300200
350029	Purchase	4276405
350030	HR	6238396
350030	Purchase	20452076
350031	HR	7204800
350031	Purchase	101195304
400002	HR	0
400002	Purchase	1751282
450002	HR	980000
450002	Purchase	5310296
\.


