300006	300006	1	4941880	312
300006	300006	3	4941880	314
300006	300006	4	4941880	315
300006	300006	5	2470940	316
300006	300006	2	7412822	313
300007	300007	1	0	324
300007	300007	2	19591600	325
300007	300007	3	19591600	326
300007	300007	4	19591600	327
300007	300007	5	9795800	328
300007	300007	6	19591600	329
300007	300007	7	9795800	330
350013	350013	3	78397636	181
350013	350013	5	66019062	183
350013	350013	7	26946433	185
350013	350013	10	26946433	188
350013	350013	11	13475220	189
350013	350013	13	13473216	191
350010	350010	2	12805470	158
350010	350010	3	16006837	159
350022	350022	2	903400	233
350022	350022	3	1129250	234
350022	350022	4	1129250	235
350022	350022	5	903400	236
350022	350022	6	225850	237
350022	350022	7	225850	238
350023	350023	2	806800	241
350023	350023	3	1008500	242
350023	350023	4	1008500	243
350023	350023	5	806800	244
350023	350023	6	201700	245
350023	350023	7	201700	246
350012	350012	2	2453060	171
350012	350012	3	2453060	172
350012	350012	4	2453060	173
350012	350012	5	1226530	174
350018	350018	6	650000	212
350021	350021	4	3713851	229
350021	350021	2	2971080	227
350025	350025	8	6379350	260
350027	350027	2	1367600	271
350027	350027	3	1367600	272
350027	350027	4	1025700	273
350027	350027	5	1025700	274
350027	350027	6	1025700	275
350027	350027	7	683800	276
350027	350027	8	341900	277
350013	350013	1	0	179
350013	350013	2	0	180
350019	350019	1	0	213
350019	350019	2	9990157	214
350019	350019	3	9990157	215
350019	350019	4	9990157	216
350019	350019	5	5994094	217
350022	350022	1	0	232
350022	350022	8	0	239
350023	350023	1	0	240
350024	350024	1	0	247
350024	350024	2	290000	248
350024	350024	4	435000	249
350024	350024	6	362500	250
350024	350024	8	290000	251
350024	350024	9	72500	252
350019	350019	6	1998032	218
350019	350019	7	1998032	219
350002	350002	5	0	98
300001	300001	5	0	74
350005	350005	10	0	136
350009	350009	9	0	156
350005	350005	0	0	126
250002	250002	0	0	55
250001	250001	1	0	47
350002	350002	1	0	94
300001	300001	1	0	70
350005	350005	1	0	127
350009	350009	1	0	148
250002	250002	1	0	56
350010	350010	1	0	157
350012	350012	1	0	170
350011	350011	1	0	164
400002	400002	1	0	296
350014	350014	1	0	193
250001	250001	2	0	48
350002	350002	2	0	95
300001	300001	2	0	71
350005	350005	2	0	128
350009	350009	2	0	149
250002	250002	2	0	57
350011	350011	2	0	165
400002	400002	2	0	297
250001	250001	3	0	49
350002	350002	3	0	96
300001	300001	3	0	72
350005	350005	3	0	129
350009	350009	3	0	150
250002	250002	3	0	58
350011	350011	3	0	166
300004	300004	1	0	82
400002	400002	3	0	298
250001	250001	4	0	50
300001	300001	4	0	73
350004	350004	1	0	109
350003	350003	1	0	103
350004	350004	2	26000000	110
350004	350004	3	39000000	111
350026	350026	8	0	269
350005	350005	4	0	130
350009	350009	4	0	151
250002	250002	4	0	59
350011	350011	4	0	167
400002	400002	4	0	299
250001	250001	5	0	51
350005	350005	5	0	131
350009	350009	5	0	152
250002	250002	5	0	60
400002	400002	5	0	300
250001	250001	6	0	52
350002	350002	6	0	99
350005	350005	6	0	132
350009	350009	6	0	153
350011	350011	6	0	169
400002	400002	6	0	301
250001	250001	7	0	53
350002	350002	7	0	100
350004	350004	7	0	115
350005	350005	7	0	133
350011	350011	5	0	168
350009	350009	7	0	154
400002	400002	7	0	302
250001	250001	8	0	54
350002	350002	8	0	101
350004	350004	8	0	116
350009	350009	8	0	155
350004	350004	9	0	117
350004	350004	10	0	118
350004	350004	11	0	119
350004	350004	12	0	120
350004	350004	13	0	121
350004	350004	14	0	122
350004	350004	15	0	123
350004	350004	16	0	124
350004	350004	17	0	125
300004	300004	2	0	83
300004	300004	3	0	84
300004	300004	4	0	85
300004	300004	5	0	86
300004	300004	6	0	87
300003	300003	1	0	75
300003	300003	2	0	76
300003	300003	3	0	77
300003	300003	4	0	78
350026	350026	5	1270963	266
350026	350026	6	1906445	267
350026	350026	7	635481	268
350026	350026	3	3177410	264
300003	300003	5	0	79
350005	350005	13	0	139
350015	350015	1	0	200
350005	350005	12	0	138
350005	350005	11	0	137
350005	350005	14	0	140
350005	350005	9	0	135
350002	350002	9	0	102
300003	300003	6	0	80
350005	350005	8	0	134
350002	350002	4	0	97
300003	300003	7	0	81
350012	350012	6	0	175
350012	350012	8	0	177
350020	350020	1	0	220
350021	350021	1	0	226
350025	350025	5	0	257
350025	350025	9	0	261
350025	350025	1	0	253
350026	350026	1	0	262
350027	350027	1	0	270
350028	350028	1	0	278
350031	350031	1	0	291
350006	350006	1	0	141
350006	350006	2	2600000	142
350006	350006	3	2600000	143
350006	350006	4	3250000	144
350003	350003	4	16000000	106
