200006	HR	3566544	5
200007	HR	2008513	6
200008	HR	1895000	7
200012	HR	700000	8
200013	HR	950000	9
200014	HR	19000000	10
250003	Equipment	15440000	11
300001	HR	6455096	12
300001	Equipment	46001356	13
300003	HR	5336071	14
300005	HR	5833950	15
300006	HR	1000000	16
350006	HR	2731250	23
350006	Equipment	6611111	24
350010	Equipment	36500855	25
350011	Misc	4750000	26
350011	HR	9500000	27
350011	Equipment	43376068	28
350012	Equipment	1750000	29
350012	HR	6840000	30
350018	HR	1900000	38
350018	Equipment	7101111	39
350019	Misc	570000	40
350019	HR	3819000	41
350019	Equipment	24479410	42
350020	HR	4465000	43
350020	Equipment	7000000	44
350022	Equipment	2415800	47
350023	Equipment	1164720	48
350025	Equipment	13286250	50
350025	HR	15660009	51
350027	Equipment	1500165	53
350027	HR	3268000	54
350028	Misc	1425000	55
350028	Equipment	7542149	56
350028	HR	12000001	57
350029	HR	300200	58
350029	Equipment	4276405	59
350030	Equipment	19826530	60
350031	Misc	1425000	61
400002	Equipment	1751282	64
350022	HR	726480	69
350023	HR	1440020	71
350020	Misc	0	73
200013	Misc	0	74
250003	Misc	0	75
350025	Misc	1199829	76
350027	Misc	0	77
250003	HR	22291126	78
350029	Misc	0	79
350026	Misc	424101	80
350026	HR	1280003	81
200008	Equipment	5287009	82
350030	HR	6238396	83
350030	Misc	625546	84
350010	HR	7790000	85
350010	Misc	1900000	86
350012	Misc	0	87
200008	Misc	0	88
350009	HR	2383869	92
200012	Equipment	4500000	93
350003	Misc	0	96
200012	Misc	0	97
350015	Misc	0	99
350005	Misc	0	100
400002	HR	0	101
400002	Misc	0	102
300006	Misc	0	106
300005	Misc	0	108
350007	Equipment	16264372	111
200009	Equipment	9202407	112
200009	HR	0	113
200009	Misc	0	114
350006	Misc	0	115
300006	Equipment	16751496	116
200014	Misc	0	118
200006	Equipment	7935099	124
200006	Misc	0	125
200007	Misc	0	127
300001	Misc	0	129
300003	Equipment	81064103	130
300003	Misc	0	131
300005	Equipment	65942225	132
350007	HR	637628	133
350007	Misc	0	134
200013	Equipment	12322193	135
350024	HR	480000	136
350024	Misc	15000	137
450002	Misc	453750	141
200017	HR	0	142
200017	Equipment	2366780	143
200017	Misc	0	144
200018	Equipment	15779137	146
200018	Misc	984976	147
350022	Misc	110072	68
350026	Equipment	7388379	52
200003	Equipment	7570297	66
350009	Misc	1347862.62	91
200002	Equipment	16012529	103
350021	Equipment	7000000	46
350004	Equipment	101211974	20
200011	Equipment	4012143	121
200001	Equipment	1330000	119
300007	Equipment	59090924	128
350024	Equipment	526511	49
350004	Misc	64000	19
350014	Equipment	59751900	35
350023	Misc	250040	70
350015	Equipment	9823338	36
350015	HR	11318839	37
300007	HR	4200000	67
350013	HR	8925000	94
350004	HR	11619932	105
300007	Misc	6500000	107
350003	HR	13189505	98
350009	Equipment	56225096.38	90
350002	Equipment	166388969	138
350005	Equipment	52621294	22
350031	Equipment	93770304	63
350013	Equipment	147687274	32
350005	HR	8547172	21
200018	HR	4930222	145
200004	Equipment	38845877	109
350003	Equipment	55192339	95
350031	HR	13204800	62
350018	Misc	153250	89
200007	Equipment	5507406	126
200014	Equipment	187917797	117
450002	Equipment	5490877	140
450002	HR	1062191	139
200004	HR	11517609	4
200003	HR	7991983	3
200002	HR	675000	2
350021	HR	2598000	45
350014	HR	28453978	34
200011	HR	0	122
200001	HR	1524841	1
200004	Misc	0	110
200003	Misc	52000	65
200002	Misc	0	104
350021	Misc	0	72
200011	Misc	0	123
200001	Misc	0	120
350002	Misc	22357	17
350014	Misc	4750000	33
350013	Misc	5800000	31
350002	HR	21696576	18
350032	Equipment	49020961	148
350032	HR	6180000	149
350032	Misc	100000	150
350033	Equipment	1786520	151
350033	HR	0	152
350033	Misc	0	153
300008	Equipment	36009746	154
300008	HR	4000000	155
300008	Misc	6300000	156
250007	HR	7980000	157
250007	Equipment	38244251	158
250007	Misc	0	159
\.


