22	2019-11-30	T	Loan return to FREC account (Old RGA)	7058824	200002	200000	160001	160000	Paid
115	2023-11-24	FI	Project Funding	97958000	990001	990000	300007	300000	Awaited
117	2024-01-29	FI	Project Funding	3321994	990001	990000	200017	200000	Awaited
118	2024-01-29	FO	MTSS Share	921994	200017	200000	990011	990000	Awaited
119	2024-01-29	FI	Project Funding	30450000	990001	990000	200018	200000	Awaited
55	2018-10-01	FI	Project Funding	135058000	990001	990000	350014	350000	Awaited
123	2018-02-20	FO	MTSS Share	0	250001	250000	990011	990000	Awaited
122	2018-02-20	FI	Project Funding	0	990001	990000	250001	250000	Awaited
127	2018-02-20	FO	MTSS Share	0	300002	300000	990011	990000	Awaited
124	2018-02-20	FI	Project Funding	0	990001	990000	300002	300000	Awaited
116	2023-11-24	FO	MTSS Share	27187496	300007	300000	990011	990000	Awaited
120	2024-01-29	FO	MTSS Share	8451165	200018	200000	990011	990000	Awaited
128	2024-05-16	FI	Project Funding	65000000	990001	990000	300008	300000	Awaited
129	2024-05-16	FO	MTSS Share	18040254	300008	300000	990011	990000	Awaited
130	2024-05-16	FI	Project Funding	2507545	990001	990000	350033	350000	Awaited
131	2024-05-16	FO	MTSS Share	695950	350033	350000	990011	990000	Awaited
132	2024-05-16	FI	Project Funding	77620000	990001	990000	350032	350000	Awaited
133	2024-05-16	FO	MTSS Share	21542839	350032	350000	990011	990000	Awaited
134	2024-06-25	FI	Project Funding	64880000	990001	990000	250007	250000	Awaited
135	2024-06-25	FO	MTSS Share	18006949	250007	250000	990011	990000	Awaited
\.


