23	2019-04-25	T	Loan return to RGA	5187000	350007	350000	160001	160000	Paid
51	2021-10-12	FI	Project Funding	10300000	990001	990000	200007	200000	Awaited
53	2021-10-12	FI	Project Funding	10000000	990001	990000	200008	200000	Awaited
58	2021-12-27	FO	MTSS Share	3513889	350006	350000	990011	990000	Awaited
57	2021-12-27	FI	Project Funding	13000000	990001	990000	350006	350000	Awaited
59	2021-12-28	FI	Project Funding	30000000	990001	990000	350015	350000	Awaited
60	2021-12-28	FO	MTSS Share	8108974	350015	350000	990011	990000	Awaited
61	2022-02-02	FI	Project Funding	120000000	990001	990000	300003	300000	Awaited
62	2022-02-02	FO	MTSS Share	32435897	300003	300000	990011	990000	Awaited
63	2022-02-09	FI	Project Funding	14900000	990001	990000	200009	200000	Awaited
64	2022-02-09	FO	MTSS Share	4027457	200009	200000	990011	990000	Awaited
31	2021-02-10	FO	MTSS Share	648718	400002	400000	990011	990000	Awaited
30	2021-02-10	FI	Project Funding	2400000	990001	990000	400002	400000	Awaited
13	2019-09-02	FI	Project Funding	60000000	990001	990000	200004	200000	Awaited
11	2019-09-02	FI	Project Funding	24000000	990001	990000	200003	200000	Awaited
14	2019-09-02	FO	MTSS Share	7500000	200004	200000	990011	990000	Awaited
12	2019-09-02	FO	MTSS Share	6352941	200003	200000	990011	990000	Awaited
2	2020-06-04	FI	Project Funding	2358123	990001	990000	200001	200000	Awaited
7	2020-08-09	FO	MTSS Share	8750000	350005	350000	990011	990000	Awaited
19	2020-08-09	FI	Project Funding	80000000	990001	990000	350003	350000	Awaited
15	2020-08-09	FI	Project Funding	60000000	990001	990000	300001	300000	Awaited
5	2020-08-09	FO	MTSS Share	16250000	350004	350000	990011	990000	Awaited
4	2020-08-09	FI	Project Funding	130000000	990001	990000	350004	350000	Awaited
6	2020-08-09	FI	Project Funding	70000000	990001	990000	350005	350000	Awaited
16	2020-08-09	FO	MTSS Share	7500000	300001	300000	990011	990000	Awaited
20	2020-08-09	FO	MTSS Share	10000000	350003	350000	990011	990000	Awaited
41	2018-10-01	FO	MTSS Share	11109295	450001	450000	990011	990000	Awaited
39	2018-10-01	FI	Project Funding	41100000	990001	990000	450001	450000	Awaited
42	2018-10-01	FI	Project Funding	80000000	990001	990000	350011	350000	Awaited
9	2018-10-01	FI	Project Funding	22059000	990001	990000	200002	200000	Awaited
17	2018-10-01	FI	Project Funding	250000000	990001	990000	350002	350000	Awaited
10	2018-10-01	FO	MTSS Share	4411941	200002	200000	990011	990000	Awaited
18	2018-10-01	FO	MTSS Share	72000000	350002	350000	990011	990000	Awaited
8	2018-10-01	FI	Project Funding	26000000	990001	990000	350007	350000	Awaited
1	2018-10-01	FO	MTSS Share	8710000	350007	350000	990011	990000	Awaited
43	2018-10-01	FO	MTSS Share	21623932	350011	350000	990011	990000	Awaited
67	2022-04-12	FI	Project Funding	13000000	990001	990000	350018	350000	Awaited
68	2022-04-12	FO	MTSS Share	3513889	350018	350000	990011	990000	Awaited
3	2020-06-04	FO	MTSS Share	637399	200001	200000	990011	990000	Awaited
54	2021-10-12	FO	MTSS Share	2702991	200008	200000	990011	990000	Awaited
52	2021-10-12	FO	MTSS Share	2784081	200007	200000	990011	990000	Awaited
47	2021-07-01	FI	Project Funding	12265300	990001	990000	350012	350000	Awaited
48	2021-07-01	FO	MTSS Share	3315300	350012	350000	990011	990000	Awaited
71	2020-06-05	FI	Project Funding	82000000	990001	990000	350009	350000	Awaited
72	2020-06-05	FO	MTSS Share	22000000	350009	350000	990011	990000	Awaited
75	2022-12-28	FI	Project Funding	7540000	990001	990000	200012	200000	Awaited
76	2022-12-28	FO	MTSS Share	2040000	200012	200000	990011	990000	Awaited
77	2023-03-27	FI	Project Funding	4517442	990001	990000	350022	350000	Awaited
78	2023-03-27	FO	MTSS Share	1221061	350022	350000	990011	990000	Awaited
79	2023-03-27	FI	Project Funding	4034160	990001	990000	350023	350000	Awaited
80	2023-03-27	FO	MTSS Share	1090430	350023	350000	990011	990000	Awaited
81	2023-03-27	FI	Project Funding	39960629	990001	990000	350019	350000	Awaited
82	2023-03-27	FO	MTSS Share	10861219	350019	350000	990011	990000	Awaited
83	2023-03-27	FI	Project Funding	14855403	990001	990000	350021	350000	Awaited
84	2023-03-27	FO	MTSS Share	4015403	350021	350000	990011	990000	Awaited
85	2023-03-27	FI	Project Funding	16033968	990001	990000	350020	350000	Awaited
86	2023-03-27	FO	MTSS Share	4333968	350020	350000	990011	990000	Awaited
