11007	990	2664	a.  Main cable dismantling from electric pole for dismantling of electric pole\r\nb.  Excavation for electrical pole removal area & backfilled\r\nc.   Excavation for electrical pole installation area & backfilled\r\nd.  Stone soiling with lean for electric pole installation\r\ne.  PCC filling in excavated area of electric pole for installation\r\nf.   Installation of supporting wire for pole strength\r\ng.   Main cable connections of electric pole	\N	\N	1	job	300000	300003	300003	2022-09-15	180000	7	Other	2023-03-21 12:51:26.784	5
11008	990	2665	Fabrication of Moveable Trolley L58" x W37" x H18" (Frame with M Channel 3" x 1.5" with base plates & 8" -04 Movable wheels with paint)	\N	\N	1	job	300000	300003	300003	2022-09-15	218500	7	Other	2023-03-21 12:51:26.784	5
11009	1009	2814	HS-200-LV SENSOR BOARD 2x 10cm 10AWG	\N	\N	3	num	350000	350004	350004	2022-10-11	23350	7	Parts	2023-03-21 12:51:26.784	5
11010	1009	2815	2-6S BEC/5.35V-3A/DF-13-4P	\N	\N	3	num	350000	350004	350004	2022-10-11	15870	7	Parts	2023-03-21 12:51:26.784	5
11011	1012	2829	RCC Flooring for 34 x 20 meter	\N	\N	680	sqm	300000	300003	300003	2022-11-17	4065	7	Other	2023-03-21 12:51:26.784	5
11012	1012	2830	Perimeter Boundary Wall	\N	\N	1900	sqf	300000	300003	300003	2022-11-17	680	7	Other	2023-03-21 12:51:26.784	5
11013	1012	2831	Pump Room, Pantry and Observatory Room Tiling	\N	\N	1	job	300000	300003	300003	2022-11-17	1937550	7	Other	2023-03-21 12:51:26.784	5
11014	1012	2832	PEB Shed entrance  ramp and outer wall lean	\N	\N	1	job	300000	300003	300003	2022-11-17	350000	7	Other	2023-03-21 12:51:26.784	5
11015	1012	2838	UPVC Doors and Windows	\N	\N	810	sqf	300000	300003	300003	2022-11-17	1550	7	Furniture	2023-03-21 12:51:26.784	5
11016	1012	2839	Backfiling/ Uplifting of required area	\N	\N	1	job	300000	300003	300003	2022-11-17	1500000	7	Other	2023-03-21 12:51:26.784	5
11017	1017	2896	Portable Operator Console for Prototype ROV Test Platform	\N	\N	1	num	300000	300003	300003	2022-10-26	389500	7	Machinery / Equipment	2023-03-21 12:51:26.784	5
11018	1025	2987	Capacitor Bank (400V, 1500 uF)	\N	\N	1	num	300000	300003	300003	2022-11-15	142500	7	Machinery / Equipment	2023-03-21 12:51:26.784	5
