58	Degree	60	BE Electrical Engineering	Pakistan Navy Engineering College	4	Years	2017-06-01	11-19-09-2301	3.35	\N	Electronics
162	Degree	60	BE Electrical Engineering	NUST-PNEC	4	Years	2018-06-10	11-19-08-8746	3.93	\N	Electrical
17	Degree	60	BE	NED	4	Years	1994-04-01	15-20-07-3967	81%	\N	Electrical Engg
195	Degree	60	BE Mechanical Engineering	NUST-PNEC	4	Years	2019-06-15	13-20-05-2229	3.6	\N	\N
77	Degree	50	Diploma	Karsaz	4	Years	2015-01-01	11-19-08-9773	1st	\N	\N
194	Degree	50	Diploma Mechanical	Karsaz	4	Years	2010-01-01	11-19-09-1097	80	\N	mechanical
60	Degree	35	A Level	St. Patricks High School	2	Years	2013-06-01	11-19-09-2301	78	\N	Pre-Engineering
91	Degree	35	A Levels	The Lyceum School	2	Years	2013-06-01	11-20-02-2509	82.25	\N	Science
208	Degree	60	BS Telecommunication Engineering	Sir_Syed_university_of_Engineering_ and_Technology	4	Years	2018-12-31	14-20-08-6716	3.73	\N	telecom
61	Degree	30	O Level	River Oaks Academy	2	Years	2011-06-01	11-19-09-2301	81	\N	Pre-Engineering
80	Degree	30	O Level	Beaconhouse School System, Jublie Campus	11	Years	2011-06-01	11-20-02-2509	87.25	\N	Science
267	Course	0	Industrial Automation	Siemens	1	Months	2020-04-19	16-20-09-6179	Pass	\N	PLC
270	Course	0	General Electrician	Karachi Shipyard & Enginering Works Ltd	6	Months	2007-01-09	16-20-09-8425	Pass	\N	General Electrical Wiring In ship
271	Course	0	Optical Fiber	Telecom Foundation Islamabad	3	Months	2009-01-08	16-20-09-8425	Pass	\N	Cable Jointing In ptcl
274	Degree	70	MS Computer Science	SZABIST, Karachi	2	Years	2009-07-10	21-20-02-4593	3.68	\N	Database Systems
273	Degree	60	BE Mechanical	PNEC, NUST, Karachi	4	Years	1998-06-06	21-20-02-4593	72.1 %	\N	Mechanical Engineering
275	Course	0	MESMC	PNS Jauhar	10	Months	2001-06-08	21-20-02-4593	70.4%	\N	\N
280	Course	0	SAP PM certification	Siemens / abacus Consulting, Karachi	4	Months	2010-09-30	21-20-02-4593	\N	\N	\N
279	Course	0	Project Management	PIMS, Karachi	0.5	Months	2011-03-28	21-20-02-4593	\N	\N	\N
290	Course	0	Web designing	PNWA	2	Months	2014-07-01	16-20-09-3410	A	na	na
304	Degree	30	SSC	Falconhouse Grammar School BSEK	2	Years	2012-06-01	13-20-05-1643	A-ONE	\N	Science
306	Degree	35	HSC	Adamjee Govt Science College BIEK	2	Years	2014-06-01	13-20-05-1643	A-ONE	\N	Pre-Engineering
309	Degree	30	\N	B.I.S.E HYD	2	Years	2007-08-30	13-20-05-1661	1	\N	Computer Science
318	Degree	30	SSC	ARMY PUBLIC SCHOOL COD	2	Years	2007-05-10	13-20-05-0991	B+	\N	Science
320	Degree	35	HSSC	ST PATRICKS COLLEGE	2	Years	2009-09-12	13-20-05-0991	A	\N	Pre-Engineering
324	Degree	70	MS	NUST	3	Years	2020-12-30	13-20-05-0991	3.53	\N	Electrical/Control
333	Degree	60	BA	University of karachi	2	Years	1996-11-04	13-20-08-3103	45%	\N	education,Islamic history
336	Course	0	Ordnance engineering	PNS karsaz	4	Years	1989-08-17	13-20-08-3103	B	\N	Missile system Maintenance
