19-23-11-8727	\N	\N	\N	Yes
13-23-12-9214	FP 0408	2024-01-01	2024-06-30	Yes
13-23-12-3265	FP0448	2023-12-28	2024-06-30	Yes
14-21-04-0903	FP-0130	2024-01-01	2024-06-30	Yes
14-22-08-1397	FP-0129	2024-01-01	2024-06-30	Yes
14-21-05-0503	FP-1097	2024-01-01	2024-06-30	Yes
14-23-07-6706	FP 0074	2024-01-01	2024-06-30	Yes
14-23-11-7005	0067	2024-01-01	2024-06-30	Yes
14-23-11-7532	FP-0126	2024-01-01	2024-06-30	Yes
14-23-10-9271	FP 0161	2024-01-01	2024-06-30	Yes
14-23-10-4087	FP 0574	2024-01-01	2024-06-30	Yes
14-23-10-4401	FP 0144	2024-01-01	2024-06-30	Yes
14-23-11-8162	FP 0128	2024-01-01	2024-06-30	Yes
14-23-01-4589	FP 0142	2024-01-01	2024-06-30	Yes
14-23-08-1287	FP 0073	2024-01-01	2024-06-30	Yes
14-23-01-2587	Nil	\N	\N	Yes
13-23-12-4410	0407	2024-01-01	2024-06-30	Yes
12-23-07-3519	FP-0804	2024-01-05	2024-06-30	Yes
12-23-07-6049	FP-0313	2023-12-25	2024-06-30	Yes
16-23-10-6161	\N	\N	\N	Yes
16-24-01-4871	\N	\N	\N	Yes
14-23-09-4373	FP 0178	2024-01-01	2024-06-30	Yes
14-24-01-9796	FP-0771	2024-01-01	2024-06-30	Yes
11-23-09-3299	FP-0380	2023-12-01	2024-06-30	Yes
11-23-09-4520	FP-0455	2024-01-01	2024-06-30	Yes
11-23-05-5744	FP-0650	2024-01-01	2024-06-30	Yes
11-23-06-9026	FP-1217	2023-08-01	2024-06-30	Yes
11-22-04-8353	FP-5522	2022-07-13	2024-06-30	Yes
11-22-10-2645	FP-525	2023-01-01	2024-06-30	Yes
14-24-02-9289	FP 2174	2024-02-26	2024-06-30	Yes
14-24-03-0179	FP 2307	2024-03-14	2024-06-30	Yes
14-24-03-5397	\N	\N	\N	Yes
14-24-04-2337	FP 2425	2024-03-22	2024-06-30	Yes
11-24-04-9106	FP-2542	2024-05-10	2024-12-31	Yes
11-24-04-8763	\N	\N	\N	Yes
\.


