84	office	193	\N	Head Office	Shop No 3, Opp Sindh Madarsa, Sharah-e-Liaquat, Industrial Town Plaza, Karachi	\N
83	office	47	\N	Regional Office	Nelson Chamber, I I Chundrigar Road, Karachi	\N
88	office	21	\N	Regional Office	1677/2 Azizabad, F.B Area, Karachi	\N
81	office	197	\N	Regional Office	Office No 1, F-C, 20/11 Commercial Area, Near Khilafat Chowk, Paposh Nagar, Nazimabad, Karachi	\N
80	office	178	\N	Head Office	West Wharf Road, Karachi	\N
82	office	34	\N	Regional Office	No 176, Sector 23, Korangi Industrial Area, Karachi	\N
77	office	52	\N	Regional Office	Plot 23 NC-25 DEH Ibrahim Hyderi Bin Qasim, Malir Karachi	\N
75	office	177	\N	Regional Office	Plot No AK-483, Sector 6B, Mehran Town Korangi, Industrial Area, Karachi	\N
79	office	12	\N	Regional Office	Suit No 80, 4th Floor, Habib Chamber, University Road, Near Civic Centre Gulshan-e-Iqbal, Karachi	\N
64	office	58	\N	Regional Office	Office A-49Mezzanine Floor, Salman Tower, Opp NADRA Office, National Highway, Malir, Karachi	\N
96	office	110	\N	Regional Office	Building No 05, Row-A, 2nd Floor, Sindh Jama Cooperative Society, National Highway, Bin Qasim Town, Karachi	\N
76	office	52	\N	Head Office	Office 86-C 4th Floor, 11th Commercial Street Main Khayaban-eIttehad, PH-II, DHA, Karachi	\N
108	office	196	\N	Regional Office	NHS Phase-I, Near Habib Metro Bank, Karsaz Karachi	\N
109	office	169	\N	Regional Office	GI/9 Malir Extension Colony, Karachi	\N
110	office	191	\N	Head Office	Near Ayesha Masjid, Wara Sitar, Harbanspura, Lahore	\N
111	office	191	\N	Regional Office	Z-2, University Teachers Colony, Northern Bypass, Multan	\N
112	office	146	\N	\N	Shop No 4, KDA Centre View Apartment, Sector 15-A, Bufferzone, Karachi	\N
113	office	89	\N	Regional Office	A/18 S.I.T.E Karachi, Pakistan	\N
114	office	147	\N	Head Office	Office 1, Basement, NHSP Plaza, Block 83, FazalUl Haq Road, Blue Area, Islamabad	\N
115	office	54	\N	Regional Office	301, Shawar Trade Centre, 72/S/2 Allama Iqbal Road, PECHS, Karachi	\N
116	office	88	\N	Regional Office	17-B Ramzan Plaza, Bank Road, Saddar, Rawalpindi	\N
118	office	79	\N	Regional Office	Zahid Building, 3rd Floor, A-26 Sector 11-B North Karachi	\N
119	office	33	\N	Regional Office	Classic Centre, C-15 Block-16, Gulshan-e-Iqbal, Main University Road, Karachi	\N
120	office	173	\N	Regional Office	Room No 310, 3rd Floor Japan Plaza, M A Jinnah Road Karachi	\N
117	office	2	\N	Regional Office	Flat No 7, Five Star Luxury Apartment Gulshan-e-Iqbal Block14, Karachi	\N
121	office	62	\N	Regional Office	Plot No A-128, Block No 13-D/2, Jamali Colony, Gulshan-e- Iqbal, Karachi	\N
122	office	55	\N	Regional Office	Suit No 306 Ahmed Arcade Block-5, Clifton, Karachi	\N
123	office	71	\N	Regional Office	ITC Plot No 10/2, Shop M-2, First Floor, Hasrat Mohani Road, Karachi	\N
124	office	59	\N	Regional Office	B-1/2, Block-2, Ground Floor, Al-Karam Square, Karachi	\N
125	office	212	\N	Regional Office	B-1/28, Block 2 Ground Floor, Karachi, Pakistan	\N
\.


