3	19-20-08-8451	Motorcycle	Super Power	CD70	2019	KMU-0861	Black
6	11-20-04-7131	Saloon	Suzuki	Alto	2012	AWV-695	S. Blue
8	11-20-04-7131	Saloon	KIA	Picanto	2020	BRU-316	white
24	13-20-05-9453	Motorcycle	Super star	Plastic body	2018	2018	black
25	16-20-09-3657	Motorcycle	Honda	CG-125 cc	1981	1981	Red
26	16-20-09-6179	Motorcycle	UNIQUE	70CC	2018	KMA-3716	BLACK
27	16-20-09-6179	Car	SUZUKI	800CC	2008	ARQ-269	GREEN
28	16-20-09-8425	Car	Suzuki	Liana	2006	AQS-865	Silver
29	21-20-02-4593	Car	Daihatsu	Cuore	2008	AQG-380	Gunmetal gray
31	21-20-02-4593	Car	Toyota	Corolla	2005	AJD-465	Gunmetal gray
32	13-20-05-1661	Car	SUZUKI	EFI	2010	AUM-897	BLUE
35	13-20-05-1661	Motorcycle	HONDA	70CC	2011	KFF-0525	BLACK
40	13-20-08-3103	Motorcycle	Pak Hero	70cc	2005	KBK-9108	Black
46	12-20-08-9305	Motorcycle	Super Power	70 cc	2015	KIB 4296	Black
42	12-20-08-3519	Car	Honda	Civic	2009	ASN921	Black
49	12-20-08-5743	Car	Toyota	Corrolla	2010	Islamabad	Black
50	14-20-08-3763	Car	Suzuki	Cultus	2020	BRW-145	Silver
59	12-20-08-6687	Motorcycle	United	125 cc	2017	Karachi	Blac
66	14-20-08-8545	Car	Suzuki	Baleno	2003	2003	Silver Metallic
77	14-20-08-8545	Motorcycle	Unique	70cc	2016	2016	Black
78	14-20-08-7389	Car	Suzuki	Wagon R	2014	BBR-467	Grey
86	14-20-07-1601	Car	Suzuki	Mehran	2017	BKE-856	Silver
87	14-20-07-1601	Car	Toyota	Corolla	2013	AXN-527	Wine Red
90	14-20-08-7529	Bike	Super Power	70cc	2008	KDW 3873	Black
91	14-20-08-1035	Car	Suzuki	Alto	2014	BKE-619	Gold
92	14-20-08-6681	Motorcycle	Bionic	70 cc	2016	KIJ-8527	Black
95	14-20-08-3623	Car	Honda	City	2006	AMD 032	Metallic
58	14-20-08-3763	Car	Honda	City	2020	-	White
99	14-20-10-6921	Motorcycle	Honda	70cc	1990	KAB-4354	Black
100	14-20-08-2265	Bike	Super Power	70cc	2014	2014	Black
104	14-21-05-0575	TWO SEATER	YONIC	2021	2021	KON9974	RED
106	14-21-04-0903	Sedan	Toyota	Corolla	2012	AXE-032	Red Wine
107	14-20-08-6261	SC	SUZUKI	NA	2019	BQU-742	GREY
108	14-20-12-4053	Motorcycle	Super Power	80cc	2017	KKZ-0982	Red
113	14-21-01-8345	Motorcycle	Super Power	80cc	2016	KJP 5509	Black
114	14-21-05-7969	Motorcycle	Honda	80cc	2016	KJO 2739	Red
115	14-20-11-0041	Motorcycle	Zemco	80cc	2013	S 4067	Red
116	14-20-08-3007	Motorcycle	Motor Cycle	Super Power	2012	kga-2267	Black
118	14-20-06-9965	Motorcycle	MOTER CYCLE KLO-2334	MOTER CYCLE KLO-2334	2016	KLO-2334	BLACK
119	14-20-06-9295	Motorcycle	Honda	80cc	1995	DU 7917	Black
135	14-20-12-6095	Motorcycle	unique	na	2009	kig 7889	black
136	14-20-08-0303	na	na	na	1990	na	na
137	14-21-05-0503	na	na	na	1999	na	na
139	14-20-08-0440	na	na	na	1990	na	na
140	14-20-12-2581	na	na	na	1990	na	na
141	14-20-09-9553	N/A	N/A	N/A	1999	N/A	N/A
143	14-21-09-9933	N/A	N/A	N/A	1999	N/A	N/A
144	14-21-05-5448	N/A	N/A	N/A	1999	N/A	N/A
146	14-21-09-7688	N/A	N/A	N/A	1999	N/A	N/A
147	14-21-05-8099	N/A	N/A	N/A	1999	N/A	N/A
148	14-21-02-2626	N/A	N/A	N/A	1999	N/A	N/A
149	14-21-05-1233	N/A	N/A	N/A	1999	N/A	N/A
150	14-21-07-6778	N/A	N/A	N/A	1999	N/A	N/A
151	14-20-06-2173	N/A	N/A	N/A	1999	N/A	N/A
152	14-20-09-9481	N/A	N/A	N/A	1999	N/A	N/A
153	14-21-06-3669	N/A	N/A	N/A	1999	N/A	N/A
156	14-21-01-3089	N/A	N/A	N/A	1999	N/A	N/A
157	14-21-05-1391	N/A	N/A	N/A	1999	N/A	N/A
158	14-21-09-8139	N/A	N/A	N/A	1999	N/A	N/A
159	14-21-01-3943	N/A	N/A	N/A	1999	N/A	N/A
